Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
THE POIZ RESIDENCES,MEYAPPA CHETTIAR ROAD,13,Non-Landed Properties,2,"4,500",70 to 80,700 to 800,Nov-25
EURO-ASIA COURT,RIVER VALLEY CLOSE,09,Non-Landed Properties,3,"4,550",130 to 140,"1,400 to 1,500",Nov-25
THE FLORENCE RESIDENCES,HOUGANG AVENUE 2,19,Non-Landed Properties,1,"2,750",40 to 50,400 to 500,Nov-25
KLIMT CAIRNHILL,CAIRNHILL ROAD,09,Non-Landed Properties,2,"7,300",80 to 90,800 to 900,Nov-25
KLIMT CAIRNHILL,CAIRNHILL ROAD,09,Non-Landed Properties,2,"7,400",80 to 90,800 to 900,Nov-25
TORIEVIEW MANSIONS,LORONG 29 GEYLANG,14,Non-Landed Properties,2,"3,300",80 to 90,800 to 900,Nov-25
THE WOODLEIGH RESIDENCES,BIDADARI PARK DRIVE,13,Non-Landed Properties,2,"4,600",60 to 70,600 to 700,Nov-25
PARC PALAIS,HUME AVENUE,21,Non-Landed Properties,3,"4,500",110 to 120,"1,200 to 1,300",Nov-25
IVORY HEIGHTS,JURONG EAST STREET 13,22,Non-Landed Properties,NA,"4,500",150 to 160,"1,700 to 1,800",Nov-25
LIV @ MB,ARTHUR ROAD,15,Non-Landed Properties,NA,"5,000",60 to 70,600 to 700,Nov-25
ARTRA,ALEXANDRA VIEW,03,Non-Landed Properties,3,"7,350",90 to 100,"1,000 to 1,100",Nov-25
SOPHIA HILLS,MOUNT SOPHIA,09,Non-Landed Properties,1,"4,600",50 to 60,500 to 600,Nov-25
THE SANTORINI,TAMPINES STREET 86,18,Non-Landed Properties,1,"2,750",40 to 50,500 to 600,Nov-25
IDYLLIC SUITES,LORONG 30 GEYLANG,14,Non-Landed Properties,2,"2,800",50 to 60,500 to 600,Nov-25
STURDEE RESIDENCES,BEATTY ROAD,08,Non-Landed Properties,1,"3,200",30 to 40,400 to 500,Nov-25
SCOTTS SQUARE,SCOTTS ROAD,09,Non-Landed Properties,3,"9,100",110 to 120,"1,200 to 1,300",Nov-25
SIMSVILLE,GEYLANG EAST AVENUE 2,14,Non-Landed Properties,2,"3,900",90 to 100,"900 to 1,000",Nov-25
VIDA,PECK HAY ROAD,09,Non-Landed Properties,1,"4,000",60 to 70,700 to 800,Nov-25
SELETAR PARK RESIDENCE,SELETAR ROAD,28,Non-Landed Properties,1,"2,650",50 to 60,500 to 600,Nov-25
THE PIER AT ROBERTSON,MOHAMED SULTAN ROAD,09,Non-Landed Properties,1,"3,900",60 to 70,600 to 700,Nov-25
FOURTH AVENUE RESIDENCES,FOURTH AVENUE,10,Non-Landed Properties,2,"4,398",60 to 70,600 to 700,Nov-25
BEDOK RESIDENCES,BEDOK NORTH DRIVE,16,Non-Landed Properties,2,"4,700",80 to 90,"900 to 1,000",Nov-25
NON-LANDED HOUSING DEVELOPMENT,RANGOON ROAD,08,Non-Landed Properties,NA,"6,000",160 to 170,"1,800 to 1,900",Nov-25
NON-LANDED HOUSING DEVELOPMENT,LEWIS ROAD,10,Non-Landed Properties,NA,"4,200",110 to 120,"1,200 to 1,300",Nov-25
RIVERWALK APARTMENTS,UPPER CIRCULAR ROAD,01,Non-Landed Properties,3,"7,200",150 to 160,"1,600 to 1,700",Nov-25
BLISS LOFT,KIM KEAT CLOSE,12,Non-Landed Properties,2,"3,450",70 to 80,800 to 900,Nov-25
SHAN GATE APARTMENTS,SHAN ROAD,12,Non-Landed Properties,1,"3,100",70 to 80,700 to 800,Nov-25
28 RC SUITES,RACE COURSE LANE,08,Non-Landed Properties,1,"2,700",30 to 40,400 to 500,Nov-25
ALTEZ,ENGGOR STREET,02,Non-Landed Properties,1,"5,000",50 to 60,600 to 700,Nov-25
EMERALD GARDEN,CLUB STREET,01,Non-Landed Properties,1,"4,600",70 to 80,800 to 900,Nov-25
JEWEL @ BUANGKOK,COMPASSVALE BOW,19,Non-Landed Properties,2,"3,400",60 to 70,700 to 800,Nov-25
NEWTON GEMS,NEWTON ROAD,11,Non-Landed Properties,1,"3,300",60 to 70,600 to 700,Nov-25
NON-LANDED HOUSING DEVELOPMENT,LORONG 4 GEYLANG,14,Non-Landed Properties,NA,"4,200",120 to 130,"1,300 to 1,400",Nov-25
NON-LANDED HOUSING DEVELOPMENT,RAMBAI ROAD,15,Non-Landed Properties,NA,"5,000",110 to 120,"1,200 to 1,300",Nov-25
CENTENNIA SUITES,KIM SENG ROAD,09,Non-Landed Properties,2,"8,250",110 to 120,"1,200 to 1,300",Nov-25
THE WOODLEIGH RESIDENCES,BIDADARI PARK DRIVE,13,Non-Landed Properties,2,"4,800",60 to 70,600 to 700,Nov-25
RESIDENCES @ KILLINEY,KILLINEY ROAD,09,Non-Landed Properties,2,"6,900",90 to 100,"1,000 to 1,100",Nov-25
D'NEST,PASIR RIS GROVE,18,Non-Landed Properties,1,"2,550",40 to 50,400 to 500,Nov-25
MARINA BAY RESIDENCES,MARINA BOULEVARD,01,Non-Landed Properties,4,"17,000",220 to 230,"2,300 to 2,400",Nov-25
AFFINITY AT SERANGOON,SERANGOON NORTH AVENUE 1,19,Non-Landed Properties,1,"3,000",50 to 60,500 to 600,Nov-25
ONE SHENTON,SHENTON WAY,01,Non-Landed Properties,1,"4,600",50 to 60,600 to 700,Nov-25
DEVONSHIRE 12,DEVONSHIRE ROAD,09,Non-Landed Properties,1,"3,500",40 to 50,400 to 500,Nov-25
SPOTTISWOODE RESIDENCES,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,3,"8,800",230 to 240,"2,400 to 2,500",Nov-25
THE FLORENCE RESIDENCES,HOUGANG AVENUE 2,19,Non-Landed Properties,1,"2,900",40 to 50,400 to 500,Nov-25
WATERFORD RESIDENCE,KIM YAM ROAD,09,Non-Landed Properties,1,"3,200",40 to 50,500 to 600,Nov-25
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,04,Non-Landed Properties,4,"12,000",250 to 260,"2,700 to 2,800",Nov-25
SAVANNAH CONDOPARK,SIMEI RISE,18,Non-Landed Properties,3,"4,400",110 to 120,"1,200 to 1,300",Nov-25
UE SQUARE,RIVER VALLEY ROAD,09,Non-Landed Properties,3,"6,000",140 to 150,"1,500 to 1,600",Nov-25
MARINA ONE RESIDENCES,MARINA WAY,01,Non-Landed Properties,1,"4,800",60 to 70,700 to 800,Nov-25
LA CRYSTAL,KILLINEY ROAD,09,Non-Landed Properties,3,"4,800",100 to 110,"1,000 to 1,100",Nov-25
GUILLEMARD SUITES,GUILLEMARD ROAD,14,Non-Landed Properties,3,"4,500",70 to 80,700 to 800,Nov-25
CHARLESTON,SHANGHAI ROAD,10,Non-Landed Properties,3,"5,700",110 to 120,"1,200 to 1,300",Nov-25
ESPADA,ST. THOMAS WALK,09,Non-Landed Properties,1,"4,000",60 to 70,600 to 700,Nov-25
VILLA MARINA,JALAN SEMPADAN,15,Non-Landed Properties,3,"5,100",140 to 150,"1,500 to 1,600",Nov-25
PAVILION SQUARE,GEYLANG ROAD,14,Non-Landed Properties,1,"2,700",30 to 40,300 to 400,Nov-25
ASTORIA PARK,LORONG MYDIN,14,Non-Landed Properties,2,"4,000",70 to 80,800 to 900,Nov-25
TANGLIN VIEW,PRINCE CHARLES CRESCENT,03,Non-Landed Properties,3,"6,000",140 to 150,"1,500 to 1,600",Nov-25
THE ALPS RESIDENCES,TAMPINES STREET 86,18,Non-Landed Properties,2,"3,500",60 to 70,600 to 700,Nov-25
CASA AERATA,LORONG 26 GEYLANG,14,Non-Landed Properties,1,"2,700",40 to 50,400 to 500,Nov-25
REGENT GROVE,CHOA CHU KANG NORTH 7,23,Non-Landed Properties,2,"3,200",80 to 90,"900 to 1,000",Nov-25
RIVERFRONT RESIDENCES,HOUGANG AVENUE 7,19,Non-Landed Properties,1,"2,900",40 to 50,500 to 600,Nov-25
THE OCEANFRONT @ SENTOSA COVE,OCEAN DRIVE,04,Non-Landed Properties,3,"7,900",150 to 160,"1,700 to 1,800",Nov-25
SUITES @ NEWTON,SURREY ROAD,11,Non-Landed Properties,2,"3,600",50 to 60,600 to 700,Nov-25
THE VUE,UPPER PAYA LEBAR ROAD,19,Non-Landed Properties,1,"2,300",30 to 40,400 to 500,Nov-25
Q BAY RESIDENCES,TAMPINES STREET 86,18,Non-Landed Properties,1,"2,600",40 to 50,500 to 600,Nov-25
HIGH PARK RESIDENCES,FERNVALE ROAD,28,Non-Landed Properties,2,"3,150",60 to 70,700 to 800,Nov-25
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,04,Non-Landed Properties,3,"8,000",120 to 130,"1,300 to 1,400",Nov-25
PARC ESTA,SIMS AVENUE,14,Non-Landed Properties,1,"3,850",40 to 50,400 to 500,Nov-25
KATONG REGENCY,TANJONG KATONG ROAD,15,Non-Landed Properties,1,"3,700",50 to 60,600 to 700,Nov-25
THE GALE,FLORA ROAD,17,Non-Landed Properties,2,"3,550",80 to 90,"900 to 1,000",Nov-25
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,2,"7,000",90 to 100,"1,000 to 1,100",Nov-25
MELVILLE PARK,SIMEI STREET 1,18,Non-Landed Properties,2,"3,800",80 to 90,"900 to 1,000",Nov-25
PICCADILLY GRAND,NORTHUMBERLAND ROAD,08,Non-Landed Properties,NA,"6,500",100 to 110,"1,000 to 1,100",Nov-25
THE SIXTH AVENUE RESIDENCES,SIXTH AVENUE,10,Non-Landed Properties,3,"6,280",120 to 130,"1,300 to 1,400",Nov-25
RIO VISTA,UPPER SERANGOON VIEW,19,Non-Landed Properties,3,"4,500",110 to 120,"1,200 to 1,300",Nov-25
NV RESIDENCES,PASIR RIS GROVE,18,Non-Landed Properties,2,"3,500",80 to 90,"900 to 1,000",Nov-25
BIJOU,JALAN MAT JAMBOL,05,Non-Landed Properties,1,"3,500",50 to 60,500 to 600,Nov-25
HILLVIEW REGENCY,BUKIT BATOK EAST AVENUE 2,23,Non-Landed Properties,3,"4,500",100 to 110,"1,100 to 1,200",Nov-25
SKY GREEN,MACPHERSON ROAD,13,Non-Landed Properties,1,"2,900",40 to 50,400 to 500,Nov-25
28 SHELFORD,SHELFORD ROAD,11,Non-Landed Properties,2,"4,200",70 to 80,800 to 900,Nov-25
PARK COLONIAL,WOODLEIGH LANE,13,Non-Landed Properties,3,"6,900",90 to 100,"900 to 1,000",Nov-25
BAYWATER,BEDOK RESERVOIR ROAD,16,Non-Landed Properties,2,"5,000",90 to 100,"1,000 to 1,100",Nov-25
CITY SQUARE RESIDENCES,KITCHENER LINK,08,Non-Landed Properties,2,"4,550",80 to 90,800 to 900,Nov-25
THE CASCADIA,BUKIT TIMAH ROAD,21,Non-Landed Properties,3,"5,800",110 to 120,"1,200 to 1,300",Nov-25
COTE D'AZUR,MARINE PARADE ROAD,15,Non-Landed Properties,2,"5,100",100 to 110,"1,100 to 1,200",Nov-25
ECO,BEDOK SOUTH AVENUE 3,16,Non-Landed Properties,2,"4,100",80 to 90,"900 to 1,000",Nov-25
THE BAYSHORE,BAYSHORE ROAD,16,Non-Landed Properties,4,"5,600",130 to 140,"1,400 to 1,500",Nov-25
PARC ESTA,SIMS AVENUE,14,Non-Landed Properties,3,"6,100",80 to 90,"900 to 1,000",Nov-25
SELETAR SPRINGS CONDOMINIUM,GERALD DRIVE,28,Non-Landed Properties,3,"3,800",120 to 130,"1,300 to 1,400",Nov-25
WATERSCAPE AT CAVENAGH,CAVENAGH ROAD,09,Non-Landed Properties,1,"3,500",60 to 70,700 to 800,Nov-25
MERAPRIME,JALAN BUKIT HO SWEE,03,Non-Landed Properties,2,"5,200",70 to 80,800 to 900,Nov-25
LA BRISA,LORONG 28 GEYLANG,14,Non-Landed Properties,2,"3,200",40 to 50,500 to 600,Nov-25
SEASTRAND,PASIR RIS LINK,18,Non-Landed Properties,NA,"2,700",50 to 60,500 to 600,Nov-25
HIGHLINE RESIDENCES,KIM TIAN ROAD,03,Non-Landed Properties,2,"5,600",60 to 70,600 to 700,Nov-25
ONE MEYER,MEYER PLACE,15,Non-Landed Properties,2,"4,400",50 to 60,600 to 700,Nov-25
CLEMENTI PARK,SUNSET WAY,21,Non-Landed Properties,3,"5,700",170 to 180,"1,800 to 1,900",Nov-25
THE INFLORA,FLORA DRIVE,17,Non-Landed Properties,1,"2,350",40 to 50,400 to 500,Nov-25
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,04,Non-Landed Properties,4,"12,300",230 to 240,"2,500 to 2,600",Nov-25
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,3,"7,500",110 to 120,"1,100 to 1,200",Nov-25
PALM ISLES,FLORA DRIVE,17,Non-Landed Properties,3,"3,900",90 to 100,"900 to 1,000",Nov-25
THE WOODLEIGH RESIDENCES,BIDADARI PARK DRIVE,13,Non-Landed Properties,3,"5,800",70 to 80,800 to 900,Nov-25
ESTELLA GARDENS,FLORA ROAD,17,Non-Landed Properties,1,"2,500",60 to 70,600 to 700,Nov-25
J GATEWAY,GATEWAY DRIVE,22,Non-Landed Properties,2,"4,400",60 to 70,600 to 700,Nov-25
FARRER PARK SUITES,OWEN ROAD,08,Non-Landed Properties,NA,"2,590",30 to 40,400 to 500,Nov-25
TRILIVE,TAMPINES ROAD,19,Non-Landed Properties,2,"3,200",50 to 60,600 to 700,Nov-25
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,2,"6,600",90 to 100,"1,000 to 1,100",Nov-25
SEVENTY SAINT PATRICK'S,ST. PATRICK'S ROAD,15,Non-Landed Properties,2,"4,500",80 to 90,800 to 900,Nov-25
D'LEEDON,LEEDON HEIGHTS,10,Non-Landed Properties,3,"7,200",110 to 120,"1,200 to 1,300",Nov-25
SUNGLADE,SERANGOON AVENUE 2,19,Non-Landed Properties,3,"4,500",100 to 110,"1,100 to 1,200",Nov-25
CARIBBEAN AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-Landed Properties,2,"5,300",80 to 90,"900 to 1,000",Nov-25
CITY SQUARE RESIDENCES,KITCHENER LINK,08,Non-Landed Properties,2,"4,500",80 to 90,800 to 900,Nov-25
SOPHIA HILLS,MOUNT SOPHIA,09,Non-Landed Properties,2,"4,500",60 to 70,600 to 700,Nov-25
LUCKY PLAZA,ORCHARD ROAD,09,Non-Landed Properties,2,"5,000",80 to 90,800 to 900,Nov-25
CORALIS,JOO CHIAT ROAD,15,Non-Landed Properties,3,"6,500",110 to 120,"1,200 to 1,300",Nov-25
LUMIERE,MISTRI ROAD,02,Non-Landed Properties,1,"4,000",60 to 70,600 to 700,Nov-25
THE COAST AT SENTOSA COVE,OCEAN DRIVE,04,Non-Landed Properties,3,"10,000",180 to 190,"2,000 to 2,100",Nov-25
THE SERENNIA,PULASAN ROAD,15,Non-Landed Properties,1,"2,600",60 to 70,600 to 700,Nov-25
REZI 24,LORONG 24 GEYLANG,14,Non-Landed Properties,2,"4,200",70 to 80,700 to 800,Nov-25
MAPLE WOODS,BUKIT TIMAH ROAD,21,Non-Landed Properties,3,"5,400",120 to 130,"1,300 to 1,400",Nov-25
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,04,Non-Landed Properties,2,"5,200",80 to 90,"900 to 1,000",Nov-25
SKYLINE 360 @ SAINT THOMAS WALK,ST. THOMAS WALK,09,Non-Landed Properties,3,"12,500",160 to 170,"1,700 to 1,800",Nov-25
HIGH STREET CENTRE,NORTH BRIDGE ROAD,06,Non-Landed Properties,1,"4,214",30 to 40,300 to 400,Nov-25
PASIR RIS 8,PASIR RIS DRIVE 8,18,Non-Landed Properties,1,"3,050",40 to 50,500 to 600,Nov-25
JADESCAPE,SHUNFU ROAD,20,Non-Landed Properties,4,"8,600",130 to 140,"1,400 to 1,500",Nov-25
BLUE HORIZON,WEST COAST CRESCENT,05,Non-Landed Properties,2,"4,500",80 to 90,"900 to 1,000",Nov-25
TRESALVEO,MARYMOUNT TERRACE,20,Non-Landed Properties,1,"3,000",50 to 60,500 to 600,Nov-25
CRYSTAL DE AZURE,HOW SUN CLOSE,19,Non-Landed Properties,2,"4,000",80 to 90,"900 to 1,000",Nov-25
PARC CLEMATIS,JALAN LEMPENG,05,Non-Landed Properties,1,"3,300",40 to 50,400 to 500,Nov-25
AMARYLLIS VILLE,NEWTON ROAD,11,Non-Landed Properties,1,"3,700",60 to 70,600 to 700,Nov-25
UE SQUARE,RIVER VALLEY ROAD,09,Non-Landed Properties,2,"5,500",90 to 100,"1,000 to 1,100",Nov-25
RV ALTITUDE,RIVER VALLEY ROAD,09,Non-Landed Properties,2,"4,800",50 to 60,600 to 700,Nov-25
ONE AMBER,AMBER GARDENS,15,Non-Landed Properties,2,"5,000",80 to 90,"900 to 1,000",Nov-25
FERRARIA PARK CONDOMINIUM,FLORA DRIVE,17,Non-Landed Properties,3,"3,800",110 to 120,"1,100 to 1,200",Nov-25
OUE TWIN PEAKS,LEONIE HILL ROAD,09,Non-Landed Properties,1,"4,400",50 to 60,500 to 600,Nov-25
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-Landed Properties,2,"3,200",50 to 60,500 to 600,Nov-25
PARC EMILY,MOUNT EMILY ROAD,09,Non-Landed Properties,2,"4,700",80 to 90,800 to 900,Nov-25
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,2,"5,500",70 to 80,700 to 800,Nov-25
EUHABITAT,JALAN EUNOS,14,Non-Landed Properties,NA,"2,700",40 to 50,500 to 600,Nov-25
COCO PALMS,PASIR RIS GROVE,18,Non-Landed Properties,2,"3,450",70 to 80,700 to 800,Nov-25
JADE RESIDENCES,LEW LIAN VALE,19,Non-Landed Properties,2,"3,000",50 to 60,500 to 600,Nov-25
J GATEWAY,GATEWAY DRIVE,22,Non-Landed Properties,1,"3,400",40 to 50,500 to 600,Nov-25
WOODHAVEN,WOODGROVE AVENUE,25,Non-Landed Properties,3,"5,100",100 to 110,"1,100 to 1,200",Nov-25
PEBBLE BAY,TANJONG RHU ROAD,15,Non-Landed Properties,2,"5,900",160 to 170,"1,700 to 1,800",Nov-25
PULLMAN RESIDENCES NEWTON,DUNEARN ROAD,11,Non-Landed Properties,1,"3,800",40 to 50,400 to 500,Nov-25
VALLEY PARK,RIVER VALLEY ROAD,10,Non-Landed Properties,1,"3,800",80 to 90,800 to 900,Nov-25
THE SCOTTS TOWER,SCOTTS ROAD,09,Non-Landed Properties,2,"5,600",70 to 80,800 to 900,Nov-25
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,1,"4,500",60 to 70,600 to 700,Nov-25
TRE RESIDENCES,GEYLANG EAST AVENUE 1,14,Non-Landed Properties,4,"5,000",80 to 90,"900 to 1,000",Nov-25
GLENDALE PARK,HILLVIEW AVENUE,23,Non-Landed Properties,3,"5,800",140 to 150,"1,500 to 1,600",Nov-25
ALTEZ,ENGGOR STREET,02,Non-Landed Properties,3,"10,000",150 to 160,"1,600 to 1,700",Nov-25
KOVAN MELODY,KOVAN ROAD,19,Non-Landed Properties,3,"6,000",150 to 160,"1,600 to 1,700",Nov-25
SUNSHINE PLAZA,PRINSEP LINK,07,Non-Landed Properties,3,"6,380",120 to 130,"1,300 to 1,400",Nov-25
PARK INFINIA AT WEE NAM,LINCOLN ROAD,11,Non-Landed Properties,2,"5,000",90 to 100,"900 to 1,000",Nov-25
BALMORAL PLACE,BALMORAL CRESCENT,10,Non-Landed Properties,2,"5,000",80 to 90,"900 to 1,000",Nov-25
KOPAR AT NEWTON,MAKEWAY AVENUE,09,Non-Landed Properties,1,"3,900",40 to 50,500 to 600,Nov-25
ONE DEVONSHIRE,DEVONSHIRE ROAD,09,Non-Landed Properties,3,"8,900",110 to 120,"1,200 to 1,300",Nov-25
LAKE GRANDE,JURONG LAKE LINK,22,Non-Landed Properties,2,"3,900",50 to 60,600 to 700,Nov-25
MAPLE WOODS,BUKIT TIMAH ROAD,21,Non-Landed Properties,3,"6,200",130 to 140,"1,400 to 1,500",Nov-25
RIVER PLACE,HAVELOCK ROAD,03,Non-Landed Properties,1,"4,700",80 to 90,800 to 900,Nov-25
8 SAINT THOMAS,ST. THOMAS WALK,09,Non-Landed Properties,1,"4,100",40 to 50,400 to 500,Nov-25
SIMS URBAN OASIS,SIMS DRIVE,14,Non-Landed Properties,1,"3,300",40 to 50,400 to 500,Nov-25
# 1 LOFT,LORONG 24 GEYLANG,14,Non-Landed Properties,1,"2,900",50 to 60,500 to 600,Nov-25
BARTLEY RIDGE,MOUNT VERNON ROAD,13,Non-Landed Properties,1,"2,900",40 to 50,400 to 500,Nov-25
LAGOON VIEW,MARINE PARADE ROAD,15,Non-Landed Properties,NA,"4,600",150 to 160,"1,600 to 1,700",Nov-25
76 SHENTON,SHENTON WAY,02,Non-Landed Properties,1,"4,400",50 to 60,500 to 600,Nov-25
AFFINITY AT SERANGOON,SERANGOON NORTH AVENUE 1,19,Non-Landed Properties,2,"3,500",50 to 60,600 to 700,Nov-25
MIDTOWN RESIDENCES,UPPER SERANGOON ROAD,19,Non-Landed Properties,2,"3,300",60 to 70,600 to 700,Nov-25
CASPIAN,LAKESIDE DRIVE,22,Non-Landed Properties,2,"4,200",80 to 90,"900 to 1,000",Nov-25
MARINA BAY RESIDENCES,MARINA BOULEVARD,01,Non-Landed Properties,2,"8,500",110 to 120,"1,200 to 1,300",Nov-25
HIGH STREET CENTRE,NORTH BRIDGE ROAD,06,Non-Landed Properties,2,"5,860",60 to 70,600 to 700,Nov-25
VARSITY PARK CONDOMINIUM,WEST COAST ROAD,05,Non-Landed Properties,3,"8,300",200 to 210,"2,200 to 2,300",Nov-25
ARDMORE II,ARDMORE PARK,10,Non-Landed Properties,4,"14,000",180 to 190,"2,000 to 2,100",Nov-25
SUITES @ TOPAZ,TOPAZ ROAD,12,Non-Landed Properties,1,"2,600",30 to 40,300 to 400,Nov-25
CITY GATE,BEACH ROAD,07,Non-Landed Properties,2,"3,500",60 to 70,600 to 700,Nov-25
J GATEWAY,GATEWAY DRIVE,22,Non-Landed Properties,1,"3,800",40 to 50,500 to 600,Nov-25
COSTA DEL SOL,BAYSHORE ROAD,16,Non-Landed Properties,3,"5,900",110 to 120,"1,200 to 1,300",Nov-25
CUBE 8,THOMSON ROAD,11,Non-Landed Properties,1,"3,350",50 to 60,500 to 600,Nov-25
SUITES @ PAYA LEBAR,UPPER PAYA LEBAR ROAD,19,Non-Landed Properties,2,"3,200",50 to 60,600 to 700,Nov-25
LOTUS AT PAYA LEBAR (EAST WING),PAYA LEBAR ROAD,14,Non-Landed Properties,2,"2,950",70 to 80,700 to 800,Nov-25
VALLEY PARK,RIVER VALLEY ROAD,10,Non-Landed Properties,3,"7,600",160 to 170,"1,800 to 1,900",Nov-25
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-Landed Properties,2,"3,900",50 to 60,500 to 600,Nov-25
MARTIN MODERN,MARTIN PLACE,09,Non-Landed Properties,3,"9,300",100 to 110,"1,000 to 1,100",Nov-25
THE SOUND,EAST COAST ROAD,15,Non-Landed Properties,2,"4,100",70 to 80,800 to 900,Nov-25
NORTH PARK RESIDENCES,YISHUN CENTRAL 1,27,Non-Landed Properties,2,"3,800",60 to 70,700 to 800,Nov-25
PATENT PLACE,JALAN RAJAWALI,21,Non-Landed Properties,3,"7,200",180 to 190,"1,900 to 2,000",Nov-25
TREASURE AT TAMPINES,TAMPINES LANE,18,Non-Landed Properties,1,"2,900",40 to 50,400 to 500,Nov-25
GLOBAL VILLE,JALAN RAJA UDANG,12,Non-Landed Properties,1,"3,000",60 to 70,600 to 700,Nov-25
CITYVISTA RESIDENCES,PECK HAY ROAD,09,Non-Landed Properties,4,"11,200",240 to 250,"2,600 to 2,700",Nov-25
THE WATERINA,LORONG 40 GEYLANG,14,Non-Landed Properties,3,"5,550",120 to 130,"1,300 to 1,400",Nov-25
THE ALPS RESIDENCES,TAMPINES STREET 86,18,Non-Landed Properties,2,"3,400",60 to 70,600 to 700,Nov-25
PRINCIPAL GARDEN,PRINCE CHARLES CRESCENT,03,Non-Landed Properties,2,"4,300",70 to 80,700 to 800,Nov-25
EON SHENTON,SHENTON WAY,02,Non-Landed Properties,2,"4,400",50 to 60,500 to 600,Nov-25
THE TRE VER,POTONG PASIR AVENUE 1,13,Non-Landed Properties,2,"4,100",60 to 70,700 to 800,Nov-25
EASTERN LAGOON,UPPER EAST COAST ROAD,16,Non-Landed Properties,2,"4,400",90 to 100,"1,000 to 1,100",Nov-25
ONE BERNAM,BERNAM STREET,02,Non-Landed Properties,NA,"3,900",40 to 50,400 to 500,Nov-25
CHERRYLOFT,RANGOON ROAD,08,Non-Landed Properties,NA,"2,100",20 to 30,300 to 400,Nov-25
SUITES@ KATONG,TANJONG KATONG ROAD,15,Non-Landed Properties,1,"2,800",40 to 50,400 to 500,Nov-25
RIVERGATE,ROBERTSON QUAY,09,Non-Landed Properties,3,"9,200",140 to 150,"1,500 to 1,600",Nov-25
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,1,"3,500",50 to 60,500 to 600,Nov-25
RIVER PLACE,HAVELOCK ROAD,03,Non-Landed Properties,1,"3,800",70 to 80,700 to 800,Nov-25
UE SQUARE,RIVER VALLEY ROAD,09,Non-Landed Properties,2,"5,200",90 to 100,"1,000 to 1,100",Nov-25
GRAMERCY PARK,GRANGE ROAD,10,Non-Landed Properties,2,"8,000",110 to 120,"1,200 to 1,300",Nov-25
NOVENA REGENCY,THOMSON ROAD,11,Non-Landed Properties,NA,"4,900",140 to 150,"1,500 to 1,600",Nov-25
HEDGES PARK CONDOMINIUM,FLORA DRIVE,17,Non-Landed Properties,3,"4,000",90 to 100,"1,000 to 1,100",Nov-25
TRE RESIDENCES,GEYLANG EAST AVENUE 1,14,Non-Landed Properties,3,"4,900",70 to 80,700 to 800,Nov-25
THE CALROSE,YIO CHU KANG ROAD,26,Non-Landed Properties,3,"4,700",100 to 110,"1,100 to 1,200",Nov-25
SEA ESTA,PASIR RIS LINK,18,Non-Landed Properties,3,"3,400",80 to 90,"900 to 1,000",Nov-25
SUNDANCE SUITES,DUKU PLACE,15,Non-Landed Properties,1,"3,300",50 to 60,600 to 700,Nov-25
THE HILLFORD,JALAN JURONG KECHIL,21,Non-Landed Properties,1,"2,700",30 to 40,300 to 400,Nov-25
MILL CREEK,LORONG MARZUKI,14,Non-Landed Properties,2,"3,800",80 to 90,"900 to 1,000",Nov-25
GEM RESIDENCES,LORONG 5 TOA PAYOH,12,Non-Landed Properties,3,"5,500",90 to 100,"1,000 to 1,100",Nov-25
GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,10,Non-Landed Properties,4,"19,500",230 to 240,"2,400 to 2,500",Nov-25
EASTERN LAGOON,UPPER EAST COAST ROAD,15,Non-Landed Properties,1,"3,100",60 to 70,700 to 800,Nov-25
EON SHENTON,SHENTON WAY,02,Non-Landed Properties,2,"4,500",50 to 60,500 to 600,Nov-25
ALEX RESIDENCES,ALEXANDRA VIEW,03,Non-Landed Properties,2,"4,400",60 to 70,600 to 700,Nov-25
RESIDENCES @ KILLINEY,KILLINEY ROAD,09,Non-Landed Properties,3,"9,000",150 to 160,"1,600 to 1,700",Nov-25
WATER PLACE,TANJONG RHU ROAD,15,Non-Landed Properties,2,"4,800",100 to 110,"1,100 to 1,200",Nov-25
ASCENTIA SKY,ALEXANDRA VIEW,03,Non-Landed Properties,3,"7,500",130 to 140,"1,400 to 1,500",Nov-25
COUNTRY PARK CONDOMINIUM,BEDOK ROAD,16,Non-Landed Properties,2,"4,100",110 to 120,"1,100 to 1,200",Nov-25
