Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
EAST VILLAGE,UPPER CHANGI ROAD,16,Non-Landed Properties,2,"2,900",50 to 60,600 to 700,Dec-24
SUN PLAZA,SEMBAWANG DRIVE,27,Non-Landed Properties,2,"3,300",90 to 100,"900 to 1,000",Dec-24
PARC ESTA,SIMS AVENUE,14,Non-Landed Properties,1,"3,800",40 to 50,400 to 500,Dec-24
DAKOTA RESIDENCES,DAKOTA CRESCENT,14,Non-Landed Properties,3,"6,000",120 to 130,"1,300 to 1,400",Dec-24
THE NAUTICAL,JALAN SENDUDOK,27,Non-Landed Properties,3,"4,300",100 to 110,"1,100 to 1,200",Dec-24
OLEANAS RESIDENCE,KIM YAM ROAD,09,Non-Landed Properties,3,"5,250",110 to 120,"1,200 to 1,300",Dec-24
THE M,MIDDLE ROAD,07,Non-Landed Properties,NA,"3,800",30 to 40,400 to 500,Dec-24
THE SCOTTS TOWER,SCOTTS ROAD,09,Non-Landed Properties,1,"4,300",60 to 70,600 to 700,Dec-24
PARC OASIS,JURONG EAST AVENUE 1,22,Non-Landed Properties,3,"5,200",110 to 120,"1,200 to 1,300",Dec-24
NEWTON GEMS,NEWTON ROAD,11,Non-Landed Properties,4,"8,300",190 to 200,"2,000 to 2,100",Dec-24
REZI 24,LORONG 24 GEYLANG,14,Non-Landed Properties,2,"4,000",50 to 60,500 to 600,Dec-24
RIVERFRONT RESIDENCES,HOUGANG AVENUE 7,19,Non-Landed Properties,3,"5,000",100 to 110,"1,100 to 1,200",Dec-24
LOFT @ NATHAN,NATHAN ROAD,10,Non-Landed Properties,1,"3,100",40 to 50,500 to 600,Dec-24
RIPPLE BAY,PASIR RIS LINK,18,Non-Landed Properties,2,"3,200",70 to 80,700 to 800,Dec-24
DUCHESS CREST,DUCHESS AVENUE,10,Non-Landed Properties,4,"8,500",170 to 180,"1,800 to 1,900",Dec-24
DOVER PARKVIEW,DOVER RISE,05,Non-Landed Properties,3,"4,350",110 to 120,"1,200 to 1,300",Dec-24
CARIBBEAN AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-Landed Properties,3,"7,900",120 to 130,"1,300 to 1,400",Dec-24
EAST MEADOWS,TANAH MERAH KECHIL ROAD,16,Non-Landed Properties,3,"5,300",110 to 120,"1,200 to 1,300",Dec-24
THE ESTA,AMBER GARDENS,15,Non-Landed Properties,4,"7,800",140 to 150,"1,500 to 1,600",Dec-24
BOTANNIA,WEST COAST PARK,05,Non-Landed Properties,3,"5,450",110 to 120,"1,200 to 1,300",Dec-24
PARC KOMO,UPPER CHANGI ROAD NORTH,17,Non-Landed Properties,2,"3,200",60 to 70,700 to 800,Dec-24
PALM ISLES,FLORA DRIVE,17,Non-Landed Properties,1,"2,700",40 to 50,500 to 600,Dec-24
NON-LANDED HOUSING DEVELOPMENT,SUNSET CLOSE,21,Non-Landed Properties,2,"4,000",100 to 110,"1,000 to 1,100",Dec-24
NON-LANDED HOUSING DEVELOPMENT,CLAYMORE ROAD,09,Non-Landed Properties,2,"3,267",70 to 80,800 to 900,Dec-24
HERITAGE EAST,EAST COAST ROAD,15,Non-Landed Properties,2,"3,200",60 to 70,600 to 700,Dec-24
H2O RESIDENCES,FERNVALE LINK,28,Non-Landed Properties,2,"3,400",80 to 90,800 to 900,Dec-24
THE PARC CONDOMINIUM,WEST COAST WALK,05,Non-Landed Properties,3,"5,700",110 to 120,"1,200 to 1,300",Dec-24
NON-LANDED HOUSING DEVELOPMENT,BRISTOL ROAD,08,Non-Landed Properties,NA,"3,000",150 to 160,"1,600 to 1,700",Dec-24
OUE TWIN PEAKS,LEONIE HILL ROAD,09,Non-Landed Properties,1,"4,000",50 to 60,500 to 600,Dec-24
THE TAPESTRY,TAMPINES STREET 86,18,Non-Landed Properties,1,"2,700",40 to 50,400 to 500,Dec-24
THE CREST,PRINCE CHARLES CRESCENT,03,Non-Landed Properties,1,"4,100",50 to 60,600 to 700,Dec-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,1,"3,100",40 to 50,400 to 500,Dec-24
RIVER PLACE,HAVELOCK ROAD,03,Non-Landed Properties,3,"7,000",120 to 130,"1,300 to 1,400",Dec-24
NEWTON GEMS,NEWTON ROAD,11,Non-Landed Properties,2,"4,400",80 to 90,"900 to 1,000",Dec-24
TANAMERA CREST,PARI DEDAP WALK,16,Non-Landed Properties,3,"4,000",100 to 110,"1,100 to 1,200",Dec-24
A TREASURE TROVE,PUNGGOL WALK,19,Non-Landed Properties,2,"3,800",80 to 90,"900 to 1,000",Dec-24
WATERSCAPE AT CAVENAGH,CAVENAGH ROAD,09,Non-Landed Properties,3,"6,500",130 to 140,"1,300 to 1,400",Dec-24
GILSTEAD TWO,GILSTEAD ROAD,11,Non-Landed Properties,2,"3,900",70 to 80,700 to 800,Dec-24
PARC EMILY,MOUNT EMILY ROAD,09,Non-Landed Properties,3,"6,400",130 to 140,"1,300 to 1,400",Dec-24
EUHABITAT,JALAN EUNOS,14,Non-Landed Properties,NA,"2,800",40 to 50,500 to 600,Dec-24
SKY EVERTON,EVERTON ROAD,02,Non-Landed Properties,2,"5,000",60 to 70,600 to 700,Dec-24
THE WATERINA,LORONG 40 GEYLANG,14,Non-Landed Properties,2,"4,400",100 to 110,"1,000 to 1,100",Dec-24
HEDGES PARK CONDOMINIUM,FLORA DRIVE,17,Non-Landed Properties,1,"2,500",40 to 50,400 to 500,Dec-24
CLEMENTIWOODS CONDOMINIUM,WEST COAST ROAD,05,Non-Landed Properties,1,"3,650",50 to 60,500 to 600,Dec-24
THE MILTONIA RESIDENCES,MILTONIA CLOSE,27,Non-Landed Properties,3,"4,600",140 to 150,"1,500 to 1,600",Dec-24
THE NAUTICAL,JALAN SENDUDOK,27,Non-Landed Properties,NA,"2,400",30 to 40,400 to 500,Dec-24
ONE DUCHESS,DUCHESS ROAD,10,Non-Landed Properties,3,"3,000",80 to 90,800 to 900,Dec-24
WOODSVILLE 28,WOODSVILLE CLOSE,13,Non-Landed Properties,3,"5,300",110 to 120,"1,100 to 1,200",Dec-24
CYAN,KENG CHIN ROAD,10,Non-Landed Properties,2,"5,500",90 to 100,"1,000 to 1,100",Dec-24
SIMS URBAN OASIS,SIMS DRIVE,14,Non-Landed Properties,2,"3,900",50 to 60,600 to 700,Dec-24
FLAMINGO VALLEY,SIGLAP ROAD,15,Non-Landed Properties,2,"3,700",80 to 90,800 to 900,Dec-24
KINGSFORD WATERBAY,UPPER SERANGOON VIEW,19,Non-Landed Properties,1,"2,700",40 to 50,400 to 500,Dec-24
ONE-NORTH RESIDENCES,ONE-NORTH GATEWAY,05,Non-Landed Properties,2,"5,200",90 to 100,"1,000 to 1,100",Dec-24
TALIB CENTRE,PURVIS STREET,07,Non-Landed Properties,NA,"3,150",70 to 80,700 to 800,Dec-24
LEVILLE ISUITES,CEYLON ROAD,15,Non-Landed Properties,2,"3,200",40 to 50,500 to 600,Dec-24
THE SEA VIEW,AMBER ROAD,15,Non-Landed Properties,3,"7,200",130 to 140,"1,400 to 1,500",Dec-24
MANDARIN GARDENS,SIGLAP ROAD,15,Non-Landed Properties,1,"3,300",60 to 70,700 to 800,Dec-24
BAYSHORE PARK,BAYSHORE ROAD,16,Non-Landed Properties,2,"3,400",80 to 90,"900 to 1,000",Dec-24
VUE 8 RESIDENCE,PASIR RIS HEIGHTS,18,Non-Landed Properties,5,"6,800",150 to 160,"1,700 to 1,800",Dec-24
GALLERY 8,PULASAN ROAD,15,Non-Landed Properties,1,"2,900",50 to 60,500 to 600,Dec-24
PARC OLYMPIA,FLORA DRIVE,17,Non-Landed Properties,3,"3,350",90 to 100,"900 to 1,000",Dec-24
MARINE BLUE,MARINE PARADE ROAD,15,Non-Landed Properties,1,"5,300",90 to 100,"900 to 1,000",Dec-24
WEST BAY CONDOMINIUM,WEST COAST CRESCENT,05,Non-Landed Properties,2,"3,600",80 to 90,800 to 900,Dec-24
THE MEZZO,BALESTIER ROAD,12,Non-Landed Properties,2,"3,700",70 to 80,800 to 900,Dec-24
THE ALPS RESIDENCES,TAMPINES STREET 86,18,Non-Landed Properties,1,"3,000",40 to 50,500 to 600,Dec-24
SIMS URBAN OASIS,SIMS DRIVE,14,Non-Landed Properties,1,"3,300",40 to 50,400 to 500,Dec-24
SPOTTISWOODE RESIDENCES,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,3,"7,400",130 to 140,"1,400 to 1,500",Dec-24
THE LUXURIE,COMPASSVALE ROAD,19,Non-Landed Properties,2,"3,300",60 to 70,700 to 800,Dec-24
REGENT RESIDENCES,SERANGOON ROAD,12,Non-Landed Properties,2,"3,200",60 to 70,600 to 700,Dec-24
PARC BOTANNIA,FERNVALE STREET,28,Non-Landed Properties,2,"3,400",60 to 70,600 to 700,Dec-24
HIGH PARK RESIDENCES,FERNVALE ROAD,28,Non-Landed Properties,1,"2,600",40 to 50,400 to 500,Dec-24
WOODHAVEN,WOODGROVE AVENUE,25,Non-Landed Properties,1,"3,000",50 to 60,600 to 700,Dec-24
TREVISTA,LORONG 3 TOA PAYOH,12,Non-Landed Properties,1,"2,900",40 to 50,400 to 500,Dec-24
CARLYX GREEN,CARLISLE ROAD,08,Non-Landed Properties,1,"3,300",40 to 50,400 to 500,Dec-24
OCEAN FRONT SUITES,JALAN LOYANG BESAR,17,Non-Landed Properties,1,"2,200",30 to 40,300 to 400,Dec-24
ASTRID MEADOWS,CORONATION ROAD WEST,10,Non-Landed Properties,NA,"8,300",170 to 180,"1,800 to 1,900",Dec-24
HILLVIEW PARK,HILLVIEW AVENUE,23,Non-Landed Properties,3,"4,200",110 to 120,"1,200 to 1,300",Dec-24
GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,10,Non-Landed Properties,4,"18,750",230 to 240,"2,500 to 2,600",Dec-24
MEYER MANSION,MEYER ROAD,15,Non-Landed Properties,3,"8,300",130 to 140,"1,300 to 1,400",Dec-24
VISTA RESIDENCES,JALAN DATOH,12,Non-Landed Properties,4,"5,500",110 to 120,"1,200 to 1,300",Dec-24
SOLEIL @ SINARAN,SINARAN DRIVE,11,Non-Landed Properties,4,"9,500",160 to 170,"1,700 to 1,800",Dec-24
THE WATERSIDE,TANJONG RHU ROAD,15,Non-Landed Properties,NA,"8,000",200 to 210,"2,100 to 2,200",Dec-24
PARC OASIS,JURONG EAST AVENUE 1,22,Non-Landed Properties,2,"3,850",100 to 110,"1,000 to 1,100",Dec-24
CLAVON,CLEMENTI AVENUE 1,05,Non-Landed Properties,2,"4,600",70 to 80,700 to 800,Dec-24
THE REEF AT KING'S DOCK,HARBOURFRONT AVENUE,04,Non-Landed Properties,NA,"3,650",40 to 50,400 to 500,Dec-24
MERA SPRINGS,CARLISLE ROAD,08,Non-Landed Properties,2,"4,600",90 to 100,"1,000 to 1,100",Dec-24
THE FLORENCE RESIDENCES,HOUGANG AVENUE 2,19,Non-Landed Properties,2,"3,400",50 to 60,600 to 700,Dec-24
BLOSSOMS @ WOODLEIGH,WOODLEIGH CLOSE,13,Non-Landed Properties,3,"4,800",100 to 110,"1,100 to 1,200",Dec-24
ALEX RESIDENCES,ALEXANDRA VIEW,03,Non-Landed Properties,1,"3,700",40 to 50,400 to 500,Dec-24
VALLEY PARK,RIVER VALLEY ROAD,10,Non-Landed Properties,1,"3,800",70 to 80,800 to 900,Dec-24
NOVENA REGENCY,THOMSON ROAD,11,Non-Landed Properties,1,"3,000",40 to 50,400 to 500,Dec-24
M66,MOONSTONE LANE,12,Non-Landed Properties,1,"2,550",40 to 50,400 to 500,Dec-24
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,1,"4,200",60 to 70,600 to 700,Dec-24
FOREST WOODS,LORONG LEW LIAN,19,Non-Landed Properties,2,"3,600",50 to 60,600 to 700,Dec-24
SARKIES MANSIONS,SARKIES ROAD,10,Non-Landed Properties,2,"6,000",140 to 150,"1,600 to 1,700",Dec-24
AMARYLLIS VILLE,NEWTON ROAD,11,Non-Landed Properties,1,"3,900",50 to 60,600 to 700,Dec-24
MARINA ONE RESIDENCES,MARINA WAY,01,Non-Landed Properties,1,"4,700",60 to 70,700 to 800,Dec-24
BALLOTA PARK CONDOMINIUM,MARIAM WAY,17,Non-Landed Properties,3,"4,100",130 to 140,"1,400 to 1,500",Dec-24
SANT RITZ,PHENG GECK AVENUE,13,Non-Landed Properties,3,"5,200",80 to 90,800 to 900,Dec-24
BELLA CASITA,IPOH LANE,15,Non-Landed Properties,1,"2,900",40 to 50,400 to 500,Dec-24
D'LEEDON,LEEDON HEIGHTS,10,Non-Landed Properties,2,"5,000",80 to 90,800 to 900,Dec-24
THE FLORENCE RESIDENCES,HOUGANG AVENUE 2,19,Non-Landed Properties,2,"3,550",60 to 70,600 to 700,Dec-24
MARINA BAY RESIDENCES,MARINA BOULEVARD,01,Non-Landed Properties,2,"7,500",90 to 100,"900 to 1,000",Dec-24
THE PARC CONDOMINIUM,WEST COAST WALK,05,Non-Landed Properties,2,"4,250",90 to 100,"900 to 1,000",Dec-24
QUEENS,STIRLING ROAD,03,Non-Landed Properties,3,"5,500",110 to 120,"1,100 to 1,200",Dec-24
ORCHARD SCOTTS,ANTHONY ROAD,09,Non-Landed Properties,3,"9,100",150 to 160,"1,600 to 1,700",Dec-24
THE HILLIER,HILLVIEW RISE,23,Non-Landed Properties,1,"3,100",50 to 60,600 to 700,Dec-24
EURO-ASIA LODGE,JOO CHIAT TERRACE,15,Non-Landed Properties,3,"5,000",120 to 130,"1,300 to 1,400",Dec-24
HILLION RESIDENCES,JELEBU ROAD,23,Non-Landed Properties,2,"4,200",60 to 70,700 to 800,Dec-24
THE VISION,WEST COAST CRESCENT,05,Non-Landed Properties,2,"4,000",80 to 90,"900 to 1,000",Dec-24
THE DAIRY FARM,DAIRY FARM ROAD,23,Non-Landed Properties,2,"4,450",110 to 120,"1,200 to 1,300",Dec-24
THE VERV @ RV,RIVER VALLEY ROAD,09,Non-Landed Properties,2,"5,600",90 to 100,"1,000 to 1,100",Dec-24
SEAVIEW POINT,AMBER ROAD,15,Non-Landed Properties,3,"4,800",120 to 130,"1,300 to 1,400",Dec-24
CITY SQUARE RESIDENCES,KITCHENER LINK,08,Non-Landed Properties,4,"6,700",140 to 150,"1,500 to 1,600",Dec-24
ONE AMBER,AMBER GARDENS,15,Non-Landed Properties,4,"8,500",150 to 160,"1,700 to 1,800",Dec-24
CARDIFF RESIDENCE,CARDIFF GROVE,19,Non-Landed Properties,1,"2,800",30 to 40,400 to 500,Dec-24
RESIDENCES @ KILLINEY,KILLINEY ROAD,09,Non-Landed Properties,2,"7,300",100 to 110,"1,000 to 1,100",Dec-24
THE ESTA,AMBER GARDENS,15,Non-Landed Properties,3,"6,500",120 to 130,"1,300 to 1,400",Dec-24
AVENUE SOUTH RESIDENCE,SILAT AVENUE,03,Non-Landed Properties,1,"3,050",40 to 50,400 to 500,Dec-24
THE REEF AT KING'S DOCK,HARBOURFRONT AVENUE,04,Non-Landed Properties,NA,"3,900",50 to 60,500 to 600,Dec-24
RIVERGATE,ROBERTSON QUAY,09,Non-Landed Properties,3,"11,500",140 to 150,"1,500 to 1,600",Dec-24
MERLOT VILLE,TELOK KURAU ROAD,15,Non-Landed Properties,3,"4,300",100 to 110,"1,000 to 1,100",Dec-24
VALLEY PARK,RIVER VALLEY ROAD,10,Non-Landed Properties,2,"6,000",110 to 120,"1,200 to 1,300",Dec-24
CARIBBEAN AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-Landed Properties,3,"8,900",150 to 160,"1,600 to 1,700",Dec-24
PARC ROSEWOOD,ROSEWOOD DRIVE,25,Non-Landed Properties,1,"2,350",40 to 50,400 to 500,Dec-24
PARC BLEU,JOO CHIAT PLACE,15,Non-Landed Properties,1,"2,900",40 to 50,400 to 500,Dec-24
GLASGOW RESIDENCE,GLASGOW ROAD,19,Non-Landed Properties,NA,"2,200",30 to 40,400 to 500,Dec-24
ADRIA,DERBYSHIRE ROAD,11,Non-Landed Properties,4,"6,400",130 to 140,"1,400 to 1,500",Dec-24
ESTA RUBY,GUILLEMARD ROAD,14,Non-Landed Properties,3,"5,000",100 to 110,"1,100 to 1,200",Dec-24
8 BASSEIN,BASSEIN ROAD,11,Non-Landed Properties,1,"3,000",40 to 50,400 to 500,Dec-24
EIGHT RIVERSUITES,WHAMPOA EAST,12,Non-Landed Properties,2,"3,800",60 to 70,600 to 700,Dec-24
CHILTERN PARK,SERANGOON AVENUE 3,19,Non-Landed Properties,2,"4,100",80 to 90,"900 to 1,000",Dec-24
WATERTOWN,PUNGGOL CENTRAL,19,Non-Landed Properties,NA,"3,400",50 to 60,600 to 700,Dec-24
SOLEIL @ SINARAN,SINARAN DRIVE,11,Non-Landed Properties,NA,"4,600",50 to 60,500 to 600,Dec-24
TANGLIN PARK,RIDLEY PARK,10,Non-Landed Properties,3,"6,700",160 to 170,"1,700 to 1,800",Dec-24
HAZEL PARK CONDOMINIUM,HAZEL PARK TERRACE,23,Non-Landed Properties,2,"3,800",90 to 100,"900 to 1,000",Dec-24
CORALS AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-Landed Properties,2,"5,500",80 to 90,800 to 900,Dec-24
THE TRILINQ,JALAN LEMPENG,05,Non-Landed Properties,2,"4,000",60 to 70,700 to 800,Dec-24
GARDENVISTA,DUNEARN ROAD,21,Non-Landed Properties,3,"5,300",100 to 110,"1,100 to 1,200",Dec-24
NINETEEN SHELFORD ROAD,SHELFORD ROAD,11,Non-Landed Properties,1,"3,300",60 to 70,700 to 800,Dec-24
LAKE GRANDE,JURONG LAKE LINK,22,Non-Landed Properties,3,"5,000",80 to 90,"900 to 1,000",Dec-24
THE M,MIDDLE ROAD,07,Non-Landed Properties,1,"4,750",40 to 50,400 to 500,Dec-24
SUITES@ KATONG,TANJONG KATONG ROAD,15,Non-Landed Properties,1,"3,000",30 to 40,300 to 400,Dec-24
THE M,MIDDLE ROAD,07,Non-Landed Properties,1,"3,900",40 to 50,400 to 500,Dec-24
SUNGLADE,SERANGOON AVENUE 2,19,Non-Landed Properties,2,"4,000",80 to 90,800 to 900,Dec-24
MIDTOWN RESIDENCES,UPPER SERANGOON ROAD,19,Non-Landed Properties,2,"3,300",60 to 70,600 to 700,Dec-24
WATERFRONT ISLE,BEDOK RESERVOIR ROAD,16,Non-Landed Properties,2,"3,800",80 to 90,"900 to 1,000",Dec-24
THE NAUTICAL,JALAN SENDUDOK,27,Non-Landed Properties,2,"3,500",70 to 80,700 to 800,Dec-24
GOLDEN HEIGHTS,SERANGOON AVENUE 3,19,Non-Landed Properties,2,"3,800",70 to 80,700 to 800,Dec-24
COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-Landed Properties,3,"7,000",90 to 100,"1,000 to 1,100",Dec-24
THE CLIFT,MCCALLUM STREET,01,Non-Landed Properties,2,"5,500",70 to 80,700 to 800,Dec-24
THE POIZ RESIDENCES,MEYAPPA CHETTIAR ROAD,13,Non-Landed Properties,1,"3,400",40 to 50,500 to 600,Dec-24
TURQUOISE,COVE DRIVE,04,Non-Landed Properties,4,"11,000",230 to 240,"2,500 to 2,600",Dec-24
ONE DEVONSHIRE,DEVONSHIRE ROAD,09,Non-Landed Properties,2,"7,500",80 to 90,"900 to 1,000",Dec-24
CAIRNHILL NINE,CAIRNHILL ROAD,09,Non-Landed Properties,1,"6,300",60 to 70,700 to 800,Dec-24
TERRASSE,TERRASSE LANE,19,Non-Landed Properties,3,"4,800",100 to 110,"1,100 to 1,200",Dec-24
PARC RIVIERA,WEST COAST VALE,05,Non-Landed Properties,2,"3,800",50 to 60,600 to 700,Dec-24
AIRSTREAM,ST. MICHAEL'S ROAD,12,Non-Landed Properties,1,"2,600",40 to 50,400 to 500,Dec-24
PARBURY HILL CONDOMINIUM,PARBURY AVENUE,16,Non-Landed Properties,3,"4,100",110 to 120,"1,100 to 1,200",Dec-24
WATERTOWN,PUNGGOL CENTRAL,19,Non-Landed Properties,1,"3,100",50 to 60,500 to 600,Dec-24
BOTANIQUE AT BARTLEY,UPPER PAYA LEBAR ROAD,19,Non-Landed Properties,2,"3,500",60 to 70,700 to 800,Dec-24
DUCHESS MANOR,DUCHESS ROAD,10,Non-Landed Properties,3,"5,100",90 to 100,"1,000 to 1,100",Dec-24
SHAN GATE APARTMENTS,SHAN ROAD,12,Non-Landed Properties,2,"4,500",90 to 100,"1,000 to 1,100",Dec-24
PARK PLACE RESIDENCES AT PLQ,PAYA LEBAR ROAD,14,Non-Landed Properties,2,"4,850",60 to 70,600 to 700,Dec-24
CASAFINA,BEDOK SOUTH AVENUE 1,16,Non-Landed Properties,3,"4,300",110 to 120,"1,200 to 1,300",Dec-24
CAMBIO SUITES,LIM TUA TOW ROAD,19,Non-Landed Properties,2,"2,600",50 to 60,500 to 600,Dec-24
ROXY SQUARE,EAST COAST ROAD,15,Non-Landed Properties,NA,"3,100",50 to 60,600 to 700,Dec-24
HILLVIEW GREEN,HUME AVENUE,21,Non-Landed Properties,2,"3,500",80 to 90,"900 to 1,000",Dec-24
ESTELLA GARDENS,FLORA ROAD,17,Non-Landed Properties,2,"3,350",100 to 110,"1,100 to 1,200",Dec-24
MARINA ONE RESIDENCES,MARINA WAY,01,Non-Landed Properties,1,"4,650",60 to 70,700 to 800,Dec-24
REGENT PARK,JALAN LEMPENG,05,Non-Landed Properties,2,"3,600",80 to 90,"900 to 1,000",Dec-24
SILVERSEA,MARINE PARADE ROAD,15,Non-Landed Properties,2,"6,000",90 to 100,"1,000 to 1,100",Dec-24
EMERALD GARDEN,CLUB STREET,01,Non-Landed Properties,2,"5,300",90 to 100,"900 to 1,000",Dec-24
THE CENTREPOINT,ORCHARD ROAD,09,Non-Landed Properties,1,"4,000",70 to 80,700 to 800,Dec-24
PARC ROSEWOOD,ROSEWOOD DRIVE,25,Non-Landed Properties,1,"2,400",40 to 50,400 to 500,Dec-24
TANGLIN REGENCY,TANGLIN ROAD,10,Non-Landed Properties,2,"3,600",60 to 70,700 to 800,Dec-24
THE CALROSE,YIO CHU KANG ROAD,26,Non-Landed Properties,2,"4,200",100 to 110,"1,000 to 1,100",Dec-24
KELIVILLE,JALAN KELI,20,Non-Landed Properties,4,"6,500",200 to 210,"2,100 to 2,200",Dec-24
MERAWOODS,HILLVIEW AVENUE,23,Non-Landed Properties,3,"4,400",120 to 130,"1,300 to 1,400",Dec-24
6 DERBYSHIRE,DERBYSHIRE ROAD,11,Non-Landed Properties,2,"4,100",70 to 80,800 to 900,Dec-24
FORETT@BUKIT TIMAH,TOH TUCK ROAD,21,Non-Landed Properties,NA,"5,000",90 to 100,"900 to 1,000",Dec-24
OEI TIONG HAM PARK RESIDENCES,OEI TIONG HAM PARK,10,Non-Landed Properties,3,"15,200",310 to 320,"3,400 to 3,500",Dec-24
ZEDGE,AKYAB ROAD,11,Non-Landed Properties,2,"3,700",70 to 80,700 to 800,Dec-24
UE SQUARE,RIVER VALLEY ROAD,09,Non-Landed Properties,1,"4,500",40 to 50,500 to 600,Dec-24
RIVER PLACE,HAVELOCK ROAD,03,Non-Landed Properties,1,"4,200",70 to 80,700 to 800,Dec-24
THE CLIFT,MCCALLUM STREET,01,Non-Landed Properties,2,"6,000",70 to 80,700 to 800,Dec-24
VIIO @ BALESTIER,BALESTIER ROAD,12,Non-Landed Properties,2,"3,800",70 to 80,800 to 900,Dec-24
PARC ESTA,SIMS AVENUE,14,Non-Landed Properties,1,"3,800",40 to 50,500 to 600,Dec-24
DEVONSHIRE 12,DEVONSHIRE ROAD,09,Non-Landed Properties,1,"3,300",40 to 50,500 to 600,Dec-24
AFFINITY AT SERANGOON,SERANGOON NORTH AVENUE 1,19,Non-Landed Properties,1,"2,700",40 to 50,400 to 500,Dec-24
CONCOURSE SKYLINE,BEACH ROAD,07,Non-Landed Properties,1,"4,800",80 to 90,800 to 900,Dec-24
THE ARISTO @ AMBER,AMBER ROAD,15,Non-Landed Properties,2,"4,700",60 to 70,700 to 800,Dec-24
MEYER MANSION,MEYER ROAD,15,Non-Landed Properties,1,"4,050",40 to 50,400 to 500,Dec-24
TRIBECA,KIM SENG ROAD,09,Non-Landed Properties,3,"9,500",160 to 170,"1,700 to 1,800",Dec-24
EDENZ LOFT,LORONG 24 GEYLANG,14,Non-Landed Properties,1,"2,600",30 to 40,400 to 500,Dec-24
CITYSCAPE @FARRER PARK,MERGUI ROAD,08,Non-Landed Properties,2,"4,250",100 to 110,"1,100 to 1,200",Dec-24
REGENTVILLE,HOUGANG STREET 92,19,Non-Landed Properties,3,"4,000",100 to 110,"1,100 to 1,200",Dec-24
FORETT@BUKIT TIMAH,TOH TUCK ROAD,21,Non-Landed Properties,NA,"4,900",90 to 100,"900 to 1,000",Dec-24
THE ATELIER,MAKEWAY AVENUE,09,Non-Landed Properties,NA,"3,900",50 to 60,500 to 600,Dec-24
SELETAR PARK RESIDENCE,SELETAR ROAD,28,Non-Landed Properties,1,"2,500",60 to 70,700 to 800,Dec-24
SIMS URBAN OASIS,SIMS DRIVE,14,Non-Landed Properties,2,"3,850",60 to 70,600 to 700,Dec-24
STRATA,ESSEX ROAD,11,Non-Landed Properties,2,"4,800",90 to 100,"1,000 to 1,100",Dec-24
RIVERTREES RESIDENCES,FERNVALE CLOSE,28,Non-Landed Properties,1,"2,600",40 to 50,500 to 600,Dec-24
TIONG BAHRU ESTATE,ENG WATT STREET,03,Non-Landed Properties,NA,"7,000",100 to 110,"1,100 to 1,200",Dec-24
QUEENS PEAK,DUNDEE ROAD,03,Non-Landed Properties,1,"3,800",40 to 50,400 to 500,Dec-24
AMARANDA GARDENS,SERANGOON AVENUE 3,19,Non-Landed Properties,3,"5,400",100 to 110,"1,100 to 1,200",Dec-24
THE SCALA,SERANGOON AVENUE 3,19,Non-Landed Properties,2,"4,400",70 to 80,800 to 900,Dec-24
THE SHORE RESIDENCES,AMBER ROAD,15,Non-Landed Properties,1,"3,700",50 to 60,500 to 600,Dec-24
HILLVIEW HEIGHTS,HILLVIEW AVENUE,23,Non-Landed Properties,2,"3,700",80 to 90,"900 to 1,000",Dec-24
HAIG 162,HAIG ROAD,15,Non-Landed Properties,2,"3,900",80 to 90,800 to 900,Dec-24
SOPHIA HILLS,MOUNT SOPHIA,09,Non-Landed Properties,2,"4,800",60 to 70,700 to 800,Dec-24
LINCOLN SUITES,KHIANG GUAN AVENUE,11,Non-Landed Properties,3,"8,500",140 to 150,"1,500 to 1,600",Dec-24
HOLLAND MANSION,HOLLAND ROAD,10,Non-Landed Properties,3,"6,300",140 to 150,"1,500 to 1,600",Dec-24
ALESSANDREA,ALEXANDRA ROAD,03,Non-Landed Properties,3,"4,800",90 to 100,"900 to 1,000",Dec-24
A TREASURE TROVE,PUNGGOL WALK,19,Non-Landed Properties,3,"4,500",100 to 110,"1,100 to 1,200",Dec-24
RIVEREDGE,SAMPAN PLACE,15,Non-Landed Properties,2,"5,200",90 to 100,"1,000 to 1,100",Dec-24
LOTUS AT JOO CHIAT,EVERITT ROAD,15,Non-Landed Properties,3,"7,300",150 to 160,"1,600 to 1,700",Dec-24
CHANTILLY RISE,HILLVIEW AVENUE,23,Non-Landed Properties,3,"4,200",110 to 120,"1,200 to 1,300",Dec-24
FORETT@BUKIT TIMAH,TOH TUCK ROAD,21,Non-Landed Properties,NA,"3,300",40 to 50,400 to 500,Dec-24
ASTRID MEADOWS,CORONATION ROAD WEST,10,Non-Landed Properties,NA,"6,000",120 to 130,"1,300 to 1,400",Dec-24
D'LEEDON,LEEDON HEIGHTS,10,Non-Landed Properties,1,"3,800",50 to 60,600 to 700,Dec-24
