Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
APOLLO GARDENS,SUNBIRD CIRCLE,16,Terrace House,NA,"11,000",250 to 300,"3,000 to 3,500",Nov-24
RIDGEWOOD,MOUNT SINAI RISE,10,Terrace House,NA,"9,000",200 to 250,"2,000 to 2,500",Nov-24
LANDED HOUSING DEVELOPMENT,ROBIN CLOSE,10,Semi-Detached House,NA,"10,500",200 to 250,"2,500 to 3,000",Nov-24
LANDED HOUSING DEVELOPMENT,TAVISTOCK AVENUE,19,Detached House,NA,"9,500",300 to 350,"3,500 to 4,000",Nov-24
LANDED HOUSING DEVELOPMENT,CASHEW CRESCENT,23,Terrace House,NA,"5,900",150 to 200,"1,500 to 2,000",Nov-24
LANDED HOUSING DEVELOPMENT,JALAN LIM TAI SEE,10,Terrace House,NA,"9,000",250 to 300,"2,500 to 3,000",Nov-24
LA SUISSE,SWISS VIEW,11,Terrace House,NA,"9,000",200 to 250,"2,000 to 2,500",Nov-24
THE MONDRIAN,HINDHEDE PLACE,21,Semi-Detached House,NA,"9,000",150 to 200,"2,000 to 2,500",Nov-24
SEMBAWANG STRAITS ESTATE,JALAN KERAYONG,27,Detached House,NA,"5,800",100 to 150,"1,000 to 1,500",Nov-24
D'MANOR,TANAH MERAH KECHIL AVENUE,16,Terrace House,NA,"5,600",250 to 300,"2,500 to 3,000",Nov-24
WATER TERRACE,LORONG AH SOO,19,Terrace House,NA,"6,450",200 to 250,"2,000 to 2,500",Nov-24
LANDED HOUSING DEVELOPMENT,UPPER EAST COAST ROAD,16,Semi-Detached House,NA,"8,000",300 to 350,"3,500 to 4,000",Nov-24
LANDED HOUSING DEVELOPMENT,NAMLY DRIVE,10,Semi-Detached House,NA,"14,500",200 to 250,"2,000 to 2,500",Nov-24
LANDED HOUSING DEVELOPMENT,FIFTH AVENUE,10,Detached House,NA,"45,000",700 to 750,"7,500 to 8,000",Nov-24
LANDED HOUSING DEVELOPMENT,EAST COAST AVENUE,15,Terrace House,NA,"6,700",250 to 300,"3,000 to 3,500",Nov-24
GREEN HILL ESTATE,CHESTNUT CRESCENT,23,Detached House,NA,"5,500",100 to 150,"1,000 to 1,500",Nov-24
THE COMPASS AT CHANCERY,CHANCERY HILL ROAD,11,Terrace House,NA,"7,302",200 to 250,"2,000 to 2,500",Nov-24
LANDED HOUSING DEVELOPMENT,DUNSFOLD DRIVE,13,Detached House,NA,"18,500",500 to 550,"5,000 to 5,500",Nov-24
LANDED HOUSING DEVELOPMENT,SIOK WAN CLOSE,05,Semi-Detached House,NA,"15,000",500 to 550,"5,500 to 6,000",Nov-24
LANDED HOUSING DEVELOPMENT,BEGONIA DRIVE,28,Semi-Detached House,NA,"9,000",200 to 250,"2,000 to 2,500",Nov-24
LANDED HOUSING DEVELOPMENT,HILLCREST ROAD,11,Semi-Detached House,NA,"12,650",250 to 300,"3,000 to 3,500",Nov-24
LANDED HOUSING DEVELOPMENT,BUKIT TERESA ROAD,04,Semi-Detached House,NA,"8,200",300 to 350,"3,000 to 3,500",Nov-24
LANDED HOUSING DEVELOPMENT,KHEAM HOCK ROAD,11,Detached House,NA,"18,500",350 to 400,"4,000 to 4,500",Nov-24
LANDED HOUSING DEVELOPMENT,SALLIM ROAD,14,Semi-Detached House,NA,"5,000",200 to 250,"2,000 to 2,500",Nov-24
THOMSON RIDGE ESTATE,THOMSON RIDGE,20,Semi-Detached House,NA,"5,200",100 to 150,"1,000 to 1,500",Nov-24
GREENWOOD MEWS,GREENWOOD AVENUE,11,Terrace House,NA,"11,500",250 to 300,"2,500 to 3,000",Nov-24
CHELSEA VILLAGE,JAMBOL PLACE,05,Terrace House,NA,"7,400",150 to 200,"1,500 to 2,000",Nov-24
BARKER TERRACES,BARKER ROAD,11,Terrace House,NA,"7,800",150 to 200,"2,000 to 2,500",Nov-24
GREENWOOD MEWS,GREENWOOD AVENUE,11,Terrace House,NA,"10,500",250 to 300,"2,500 to 3,000",Nov-24
CHANCERY GROVE,CHANCERY LANE,11,Terrace House,NA,"7,200",150 to 200,"1,500 to 2,000",Nov-24
LANDED HOUSING DEVELOPMENT,LANGSAT ROAD,15,Semi-Detached House,NA,"7,500",150 to 200,"1,500 to 2,000",Nov-24
LANDED HOUSING DEVELOPMENT,HOLLAND GROVE DRIVE,10,Detached House,NA,"17,500",400 to 450,"4,500 to 5,000",Nov-24
LANDED HOUSING DEVELOPMENT,GARLICK AVENUE,10,Detached House,NA,"15,000",250 to 300,"3,000 to 3,500",Nov-24
LANDED HOUSING DEVELOPMENT,LUCKY HEIGHTS,16,Semi-Detached House,NA,"5,800",250 to 300,"2,500 to 3,000",Nov-24
LANDED HOUSING DEVELOPMENT,OXLEY ROAD,09,Detached House,NA,"16,000",500 to 550,"5,500 to 6,000",Nov-24
LANDED HOUSING DEVELOPMENT,MACKENZIE ROAD/MOUNT EMILY ROAD/UPPER WILKIE ROAD/WILKIE ROAD,09,Terrace House,NA,"7,000",150 to 200,"2,000 to 2,500",Nov-24
BRADDELL HEIGHTS ESTATE,SUNDRIDGE PARK ROAD,13,Detached House,NA,"18,000",700 to 750,"7,500 to 8,000",Nov-24
LYNWOOD EIGHT,LYNWOOD GROVE,13,Detached House,NA,"19,000",400 to 450,"4,000 to 4,500",Nov-24
BLAIR PLAIN CONSERVATION AREA,EVERTON ROAD/SPOTTISWOODE PARK ROAD,02,Terrace House,NA,"10,000",300 to 350,"3,000 to 3,500",Nov-24
LANDED HOUSING DEVELOPMENT,KOVAN CLOSE,19,Terrace House,NA,"8,200",350 to 400,"4,000 to 4,500",Nov-24
LANDED HOUSING DEVELOPMENT,CHU LIN ROAD,23,Semi-Detached House,NA,"5,000",150 to 200,"1,500 to 2,000",Nov-24
LANDED HOUSING DEVELOPMENT,NERAM ROAD,28,Detached House,NA,"9,750",250 to 300,"2,500 to 3,000",Nov-24
TOWNER VILLE,MCNAIR ROAD,12,Terrace House,NA,"8,000",200 to 250,"2,000 to 2,500",Nov-24
CABANA,SUNRISE TERRACE,28,Terrace House,NA,"6,700",250 to 300,"3,000 to 3,500",Nov-24
LANDED HOUSING DEVELOPMENT,JOO CHIAT PLACE,15,Terrace House,NA,"5,200",100 to 150,"1,000 to 1,500",Nov-24
LANDED HOUSING DEVELOPMENT,LORONG M TELOK KURAU,15,Terrace House,NA,"9,600",150 to 200,"2,000 to 2,500",Nov-24
LANDED HOUSING DEVELOPMENT,JALAN REMAJA,23,Terrace House,NA,"18,000",500 to 550,"5,000 to 5,500",Nov-24
CLOVER PARK,CLOVER AVENUE,20,Semi-Detached House,NA,"11,500",300 to 350,"3,000 to 3,500",Nov-24
NANYANG PARK,JALAN LIMBOK,19,Terrace House,NA,"6,600",150 to 200,"1,500 to 2,000",Nov-24
CHANCERY GROVE,CHANCERY LANE,11,Terrace House,NA,"7,100",150 to 200,"1,500 to 2,000",Nov-24
SERANGOON PARK,JALAN GIRANG,13,Semi-Detached House,NA,"9,800",250 to 300,"3,000 to 3,500",Nov-24
BRENTWOOD,LLOYD ROAD,09,Terrace House,NA,"11,000",150 to 200,"2,000 to 2,500",Nov-24
SEMBAWANG PARK,JALAN MATA AYER,27,Terrace House,NA,"2,500",100 to 150,"1,000 to 1,500",Nov-24
LANDED HOUSING DEVELOPMENT,LORONG PISANG EMAS,21,Terrace House,NA,"10,800",350 to 400,"3,500 to 4,000",Nov-24
LANDED HOUSING DEVELOPMENT,ONAN ROAD,15,Terrace House,NA,"6,500",200 to 250,"2,000 to 2,500",Nov-24
LANDED HOUSING DEVELOPMENT,JALAN MERLIMAU,11,Semi-Detached House,NA,"8,600",200 to 250,"2,000 to 2,500",Nov-24
LANDED HOUSING DEVELOPMENT,UNIVERSITY ROAD,11,Detached House,NA,"14,000",350 to 400,"4,000 to 4,500",Nov-24
LANDED HOUSING DEVELOPMENT,CARPMAEL ROAD,15,Terrace House,NA,"7,500",150 to 200,"1,500 to 2,000",Nov-24
LANDED HOUSING DEVELOPMENT,JALAN AMPANG,10,Semi-Detached House,NA,"14,500",200 to 250,"2,000 to 2,500",Nov-24
LANDED HOUSING DEVELOPMENT,SERANGOON GARDEN WAY,19,Detached House,NA,"8,500",300 to 350,"3,000 to 3,500",Nov-24
LANDED HOUSING DEVELOPMENT,CHANGI ROAD,14,Semi-Detached House,NA,"8,000",250 to 300,"3,000 to 3,500",Nov-24
LANDED HOUSING DEVELOPMENT,PAYA LEBAR CRESCENT,19,Terrace House,NA,"6,500",150 to 200,"1,500 to 2,000",Nov-24
LANDED HOUSING DEVELOPMENT,ROSYTH ROAD,19,Terrace House,NA,"6,500",150 to 200,"2,000 to 2,500",Nov-24
LANDED HOUSING DEVELOPMENT,JALAN KAKATUA,21,Detached House,NA,"32,000",750 to 800,"8,000 to 8,500",Nov-24
LANDED HOUSING DEVELOPMENT,JALAN KECHOT,14,Terrace House,NA,"3,300",150 to 200,"1,500 to 2,000",Nov-24
LANDED HOUSING DEVELOPMENT,HOLLAND PARK,10,Detached House,NA,"26,000",500 to 550,"5,500 to 6,000",Nov-24
LANDED HOUSING DEVELOPMENT,LOWLAND ROAD,19,Terrace House,NA,"6,000",250 to 300,"2,500 to 3,000",Nov-24
LANDED HOUSING DEVELOPMENT,STEVENS DRIVE,10,Semi-Detached House,NA,"12,000",300 to 350,"3,000 to 3,500",Nov-24
LANDED HOUSING DEVELOPMENT,SPRINGSIDE DRIVE,26,Terrace House,NA,"5,500",200 to 250,"2,000 to 2,500",Nov-24
LANDED HOUSING DEVELOPMENT,TANGLIN ROAD,10,Detached House,NA,"50,000",750 to 800,"8,000 to 8,500",Nov-24
LANDED HOUSING DEVELOPMENT,JALAN KURNIA,19,Terrace House,NA,"4,260",150 to 200,"1,500 to 2,000",Nov-24
THOMSON PARK,JALAN TERUBOK,20,Terrace House,NA,"4,800",100 to 150,"1,000 to 1,500",Nov-24
FUDU PARK,FUDU WALK,26,Terrace House,NA,"5,800",300 to 350,"3,000 to 3,500",Nov-24
SERANGOON GARDEN ESTATE,LICHFIELD ROAD,19,Terrace House,NA,"3,800",100 to 150,"1,000 to 1,500",Nov-24
LUCKY HILL,BEDOK TERRACE,16,Terrace House,NA,"7,200",150 to 200,"1,500 to 2,000",Nov-24
FABER HILLS,FABER GROVE,05,Semi-Detached House,NA,"9,813",250 to 300,"2,500 to 3,000",Nov-24
HOLLAND GROVE PARK,JALAN KEBAYA,10,Semi-Detached House,NA,"7,500",200 to 250,"2,500 to 3,000",Nov-24
OASIS @ MULBERRY,BELIMBING AVENUE,13,Terrace House,NA,"9,500",350 to 400,"4,000 to 4,500",Nov-24
KOVAN REGENCY,KOVAN RISE,19,Terrace House,NA,"8,600",300 to 350,"3,500 to 4,000",Nov-24
THE CHANCERY RESIDENCE,CHANCERY LANE,11,Terrace House,NA,"9,000",200 to 250,"2,000 to 2,500",Nov-24
VERDANA VILLAS,GRACE WALK,19,Semi-Detached House,NA,"10,500",350 to 400,"4,000 to 4,500",Nov-24
SERANGOON GARDEN PARK,JALAN PACHELI,19,Terrace House,NA,"6,800",150 to 200,"1,500 to 2,000",Nov-24
THE GREENWOOD,GREENWOOD AVENUE,11,Terrace House,NA,"8,500",250 to 300,"3,000 to 3,500",Nov-24
CORONA COURT,JALAN HAJI ALIAS,10,Terrace House,NA,"7,500",150 to 200,"2,000 to 2,500",Nov-24
PHILLIPS RESIDENCE,PHILLIPS AVENUE,19,Semi-Detached House,NA,"7,500",350 to 400,"4,000 to 4,500",Nov-24
RAFFLES PARK,ORIOLE CRESCENT,11,Detached House,NA,"12,000",150 to 200,"1,500 to 2,000",Nov-24
MING TECK PARK,SIXTH AVENUE,10,Semi-Detached House,NA,"6,600",200 to 250,"2,000 to 2,500",Nov-24
BEDOK RIA,BEDOK RIA WALK,16,Terrace House,NA,"6,200",150 to 200,"2,000 to 2,500",Nov-24
ANGSANA PARK,HINDHEDE DRIVE,21,Terrace House,NA,"7,200",150 to 200,"1,500 to 2,000",Nov-24
BINJAI PARK,BINJAI RISE,21,Detached House,NA,"17,000",350 to 400,"3,500 to 4,000",Nov-24
PEAKVIEW ESTATE,JALAN PARI DEDAP,16,Semi-Detached House,NA,"5,200",300 to 350,"3,000 to 3,500",Nov-24
KING ALBERT PARK,KING ALBERT PARK,21,Detached House,NA,"16,500",550 to 600,"6,000 to 6,500",Nov-24
FUYONG ESTATE,JALAN ASAS,23,Terrace House,NA,"6,000",100 to 150,"1,000 to 1,500",Nov-24
BIN TONG PARK,BIN TONG PARK,10,Detached House,NA,"28,000",750 to 800,"8,000 to 8,500",Nov-24
TOWNER VILLE,MCNAIR ROAD,12,Terrace House,NA,"7,200",150 to 200,"1,500 to 2,000",Nov-24
LANDED HOUSING DEVELOPMENT,JALAN SEGAM,16,Semi-Detached House,NA,"9,500",450 to 500,"5,000 to 5,500",Nov-24
LANDED HOUSING DEVELOPMENT,CHILTERN DRIVE,13,Detached House,NA,"26,000",500 to 550,"5,000 to 5,500",Nov-24
SPRINGLEAF GARDEN,SPRINGLEAF CRESCENT,26,Semi-Detached House,NA,"6,200",250 to 300,"3,000 to 3,500",Nov-24
THOMSON PLAZA,MARIGOLD DRIVE,20,Terrace House,NA,"6,300",150 to 200,"1,500 to 2,000",Nov-24
CASHEW VILLAS/CASHEW HILL/CASHEW GARDEN,CASHEW CRESCENT,23,Semi-Detached House,NA,"8,300",250 to 300,"2,500 to 3,000",Nov-24
TOH TUCK GARDEN,TOH TUCK ROAD,21,Semi-Detached House,NA,"6,800",300 to 350,"3,000 to 3,500",Nov-24
LANDED HOUSING DEVELOPMENT,JOO CHIAT PLACE,15,Terrace House,NA,"8,600",150 to 200,"1,500 to 2,000",Nov-24
LANDED HOUSING DEVELOPMENT,LENGKONG DUA,14,Semi-Detached House,NA,"10,000",450 to 500,"4,500 to 5,000",Nov-24
LANDED HOUSING DEVELOPMENT,PAYA LEBAR CRESCENT,19,Semi-Detached House,NA,"9,800",250 to 300,"2,500 to 3,000",Nov-24
LANDED HOUSING DEVELOPMENT,FERNHILL CRESCENT,10,Semi-Detached House,NA,"12,600",500 to 550,"5,500 to 6,000",Nov-24
TAI HWAN GARDEN,TAI HWAN LANE,19,Terrace House,NA,"6,000",200 to 250,"2,000 to 2,500",Nov-24
ESTRIVILLAS,JALAN LIM TAI SEE,10,Semi-Detached House,NA,"10,300",300 to 350,"3,000 to 3,500",Nov-24
CAPITOL PARK,JALAN ASUHAN,11,Terrace House,NA,"6,300",150 to 200,"1,500 to 2,000",Nov-24
TOWNER VILLE,MCNAIR ROAD,12,Terrace House,NA,"6,200",150 to 200,"1,500 to 2,000",Nov-24
LA SUISSE,SWISS VIEW,11,Terrace House,NA,"8,000",200 to 250,"2,000 to 2,500",Nov-24
LANDED HOUSING DEVELOPMENT,EWE BOON ROAD/KENG CHIN ROAD,10,Semi-Detached House,NA,"13,000",200 to 250,"2,000 to 2,500",Nov-24
TOWNER VILLE,TOWNER ROAD,12,Terrace House,NA,"5,700",150 to 200,"1,500 to 2,000",Nov-24
OEI TIONG HAM PARK,OEI TIONG HAM PARK,10,Detached House,NA,"21,000",450 to 500,"5,000 to 5,500",Nov-24
THE GREENWOOD,GREENWOOD AVENUE,11,Terrace House,NA,"8,000",200 to 250,"2,000 to 2,500",Nov-24
LANDED HOUSING DEVELOPMENT,EVERITT ROAD NORTH,15,Terrace House,NA,"5,500",50 to 100,"1,000 to 1,500",Nov-24
TECK HIANG GARDENS,TOH TUCK CRESCENT,21,Semi-Detached House,NA,"6,800",200 to 250,"2,000 to 2,500",Nov-24
CABANA,SUNRISE TERRACE,28,Terrace House,NA,"7,100",250 to 300,"2,500 to 3,000",Nov-24
MOUNT SINAI,MOUNT SINAI VIEW,10,Terrace House,NA,"5,700",150 to 200,"1,500 to 2,000",Nov-24
LANDED HOUSING DEVELOPMENT,MERRYN ROAD,11,Detached House,NA,"12,800",300 to 350,"3,000 to 3,500",Nov-24
LANDED HOUSING DEVELOPMENT,EAST COAST PARK FIRST STREET,15,Terrace House,NA,"4,700",100 to 150,"1,500 to 2,000",Nov-24
LANDED HOUSING DEVELOPMENT,CARDIFF GROVE,19,Terrace House,NA,"9,200",350 to 400,"4,000 to 4,500",Nov-24
LANDED HOUSING DEVELOPMENT,CORONATION ROAD WEST,10,Detached House,NA,"22,000",400 to 450,"4,500 to 5,000",Nov-24
LANDED HOUSING DEVELOPMENT,SWETTENHAM GREEN,10,Detached House,NA,"27,000",600 to 650,"6,500 to 7,000",Nov-24
LANDED HOUSING DEVELOPMENT,SPRINGLEAF GARDEN,26,Semi-Detached House,NA,"14,500",500 to 550,"5,500 to 6,000",Nov-24
LANDED HOUSING DEVELOPMENT,JALAN DERMAWAN,23,Terrace House,NA,"6,200",150 to 200,"2,000 to 2,500",Nov-24
BIN TONG PARK,BIN TONG PARK,10,Detached House,NA,"14,500",300 to 350,"3,500 to 4,000",Nov-24
THE GREENWOOD,GREENWOOD LANE,11,Terrace House,NA,"9,000",200 to 250,"2,500 to 3,000",Nov-24
ANGSANA PARK,HINDHEDE DRIVE,21,Terrace House,NA,"7,500",200 to 250,"2,500 to 3,000",Nov-24
THE VISION,WEST COAST CRESCENT,05,Terrace House,NA,"10,000",450 to 500,"5,000 to 5,500",Nov-24
SERANGOON PARK,JALAN SUKACHITA,13,Terrace House,NA,"7,000",250 to 300,"2,500 to 3,000",Nov-24
RICHMOND VILLE,LIMAU GARDEN,16,Semi-Detached House,NA,"7,200",450 to 500,"5,000 to 5,500",Nov-24
ALLAMANDA GROVE,ALLAMANDA GROVE,10,Semi-Detached House,NA,"7,600",150 to 200,"1,500 to 2,000",Nov-24
THE TENERIFFE,LAUREL WOOD AVENUE,10,Terrace House,NA,"9,500",250 to 300,"2,500 to 3,000",Nov-24
HILLCREST PARK,GREENVIEW CRESCENT,11,Detached House,NA,"9,000",200 to 250,"2,000 to 2,500",Nov-24
LANDED HOUSING DEVELOPMENT,LENGKONG SATU,14,Semi-Detached House,NA,"7,000",250 to 300,"2,500 to 3,000",Nov-24
LANDED HOUSING DEVELOPMENT,CORONATION ROAD WEST,10,Detached House,NA,"22,000",300 to 350,"3,500 to 4,000",Nov-24
LANDED HOUSING DEVELOPMENT,LEO DRIVE,20,Terrace House,NA,"11,000",250 to 300,"3,000 to 3,500",Nov-24
LANDED HOUSING DEVELOPMENT,WOO MON CHEW ROAD,15,Terrace House,NA,"10,400",250 to 300,"2,500 to 3,000",Nov-24
LANDED HOUSING DEVELOPMENT,SIMON WALK,19,Terrace House,NA,"5,500",250 to 300,"2,500 to 3,000",Nov-24
KIMNAN PARK,TAMAN SELAMAT,14,Terrace House,NA,"7,100",150 to 200,"2,000 to 2,500",Nov-24
FRANKEL ESTATE,YARROW GARDENS,15,Detached House,NA,"8,000",200 to 250,"2,000 to 2,500",Nov-24
SEA VIEW PARK,JALAN SEAVIEW,15,Semi-Detached House,NA,"6,000",150 to 200,"1,500 to 2,000",Nov-24
DUCHESS CREST,DUCHESS AVENUE,10,Terrace House,NA,"12,500",300 to 350,"3,000 to 3,500",Nov-24
WHITESHORES,PONGGOL SEVENTEENTH AVENUE,19,Detached House,NA,"7,785",250 to 300,"2,500 to 3,000",Nov-24
LANDED HOUSING DEVELOPMENT,KIM YAM ROAD,09,Terrace House,NA,"4,500",100 to 150,"1,000 to 1,500",Nov-24
LANDED HOUSING DEVELOPMENT,LORONG 8 GEYLANG,14,Terrace House,NA,"4,900",100 to 150,"1,000 to 1,500",Nov-24
GOLDHILL GARDENS,GOLDHILL PLACE,11,Terrace House,NA,"9,000",200 to 250,"2,500 to 3,000",Nov-24
BLAIR PLAIN CONSERVATION AREA,BLAIR ROAD,02,Terrace House,NA,"10,500",200 to 250,"2,000 to 2,500",Nov-24
HONG KONG PARK,SIAN TUAN AVENUE,21,Semi-Detached House,NA,"5,200",100 to 150,"1,000 to 1,500",Nov-24
LANDED HOUSING DEVELOPMENT,CORNWALL GARDENS,10,Detached House,NA,"14,500","1,200 to 1,250","13,000 to 13,500",Nov-24
LANDED HOUSING DEVELOPMENT,GALLOP WALK,10,Detached House,NA,"30,888",500 to 550,"5,500 to 6,000",Nov-24
LANDED HOUSING DEVELOPMENT,JALAN NOVENA UTARA,11,Terrace House,NA,"6,100",150 to 200,"2,000 to 2,500",Nov-24
LANDED HOUSING DEVELOPMENT,JALAN TARI PIRING,28,Terrace House,NA,"4,800",150 to 200,"1,500 to 2,000",Nov-24
SHAMROCK PARK,NAMLY PLACE,10,Terrace House,NA,"5,300",150 to 200,"1,500 to 2,000",Nov-24
SUMMER PLACE,SUMMER PLACE,19,Terrace House,NA,"5,700",200 to 250,"2,000 to 2,500",Nov-24
YEW LIAN PARK,TAMAN PERMATA,20,Terrace House,NA,"7,200",200 to 250,"2,000 to 2,500",Nov-24
RESIDENCES AT EMERALD HILL,EMERALD HILL ROAD,09,Terrace House,NA,"18,000",500 to 550,"5,500 to 6,000",Nov-24
LANDED HOUSING DEVELOPMENT,EMPRESS ROAD/KINGSMEAD ROAD,10,Detached House,NA,"14,000",550 to 600,"6,000 to 6,500",Nov-24
LANDED HOUSING DEVELOPMENT,JALAN UJI,23,Detached House,NA,"11,500",250 to 300,"3,000 to 3,500",Nov-24
LANDED HOUSING DEVELOPMENT,RICHARDS PLACE,19,Semi-Detached House,NA,"4,800",300 to 350,"3,000 to 3,500",Nov-24
SERANGOON GARDEN ESTATE,HEMSLEY AVENUE,19,Terrace House,NA,"4,200",100 to 150,"1,000 to 1,500",Nov-24
VENTURA HEIGHTS,JALAN LIM TAI SEE,10,Semi-Detached House,NA,"9,300",300 to 350,"3,000 to 3,500",Nov-24
GREENWOOD MEWS,GREENWOOD AVENUE,11,Terrace House,NA,"10,200",250 to 300,"2,500 to 3,000",Nov-24
PASIR PANJANG GARDENS,TAMAN MAS MERAH,05,Terrace House,NA,"6,200",150 to 200,"2,000 to 2,500",Nov-24
FIGARO GARDENS,FIGARO GARDENS,15,Semi-Detached House,NA,"8,800",250 to 300,"2,500 to 3,000",Nov-24
VICTORIA PARK VILLAS,VICTORIA PARK GROVE,10,Semi-Detached House,NA,"15,000",250 to 300,"2,500 to 3,000",Nov-24
LANDED HOUSING DEVELOPMENT,JALAN TANAH PUTEH,15,Semi-Detached House,NA,"12,000",300 to 350,"3,500 to 4,000",Nov-24
LANDED HOUSING DEVELOPMENT,LORONG 107 CHANGI,15,Terrace House,NA,"5,800",150 to 200,"1,500 to 2,000",Nov-24
CLEMENTI PARK,SUNSET WAY,21,Detached House,NA,"26,800",500 to 550,"5,500 to 6,000",Nov-24
HAUS@SERANGOON GARDEN,SERANGOON GARDEN DRIVE,19,Terrace House,NA,"7,000",300 to 350,"3,000 to 3,500",Nov-24
PEIRCE VILLAS,PEIRCE HILL,10,Detached House,NA,"30,000",600 to 650,"6,500 to 7,000",Nov-24
SOMMERVILLE PARK,SOMMERVILLE ESTATE ROAD,10,Terrace House,NA,"7,500",150 to 200,"2,000 to 2,500",Nov-24
OCEAN 8,OCEAN DRIVE,04,Terrace House,NA,"15,000",200 to 250,"2,000 to 2,500",Nov-24
LANDED HOUSING DEVELOPMENT,STEVENS CLOSE,10,Semi-Detached House,NA,"11,000",350 to 400,"4,000 to 4,500",Nov-24
LANDED HOUSING DEVELOPMENT,TREVOSE CRESCENT,11,Detached House,NA,"27,000",450 to 500,"5,000 to 5,500",Nov-24
LANDED HOUSING DEVELOPMENT,JOO CHIAT TERRACE,15,Terrace House,NA,"7,000",150 to 200,"2,000 to 2,500",Nov-24
LANDED HOUSING DEVELOPMENT,UNIVERSITY ROAD,11,Detached House,NA,"14,000",350 to 400,"3,500 to 4,000",Nov-24
LANDED HOUSING DEVELOPMENT,PONGGOL SEVENTEENTH AVENUE,19,Detached House,NA,"10,600",300 to 350,"3,000 to 3,500",Nov-24
LANDED HOUSING DEVELOPMENT,WATTEN ESTATE ROAD,11,Semi-Detached House,NA,"11,000",250 to 300,"3,000 to 3,500",Nov-24
LANDED HOUSING DEVELOPMENT,KOON SENG ROAD,15,Terrace House,NA,"7,800",250 to 300,"2,500 to 3,000",Nov-24
LANDED HOUSING DEVELOPMENT,NIM ROAD,28,Terrace House,NA,"7,500",300 to 350,"3,000 to 3,500",Nov-24
LANDED HOUSING DEVELOPMENT,PRINCESS OF WALES ROAD,10,Semi-Detached House,NA,"15,500",250 to 300,"3,000 to 3,500",Nov-24
LANDED HOUSING DEVELOPMENT,HUA GUAN AVENUE,21,Detached House,NA,"21,000",650 to 700,"7,000 to 7,500",Nov-24
LANDED HOUSING DEVELOPMENT,STEVENS DRIVE,10,Detached House,NA,"13,500",350 to 400,"4,000 to 4,500",Nov-24
LANDED HOUSING DEVELOPMENT,LORONG 1 REALTY PARK,19,Terrace House,NA,"6,400",200 to 250,"2,000 to 2,500",Nov-24
LANDED HOUSING DEVELOPMENT,HOLLAND ROAD,10,Detached House,NA,"22,000",650 to 700,"7,000 to 7,500",Nov-24
LANDED HOUSING DEVELOPMENT,CORONATION DRIVE,10,Semi-Detached House,NA,"7,600",250 to 300,"2,500 to 3,000",Nov-24
LANDED HOUSING DEVELOPMENT,FIDELIO STREET,15,Detached House,NA,"6,500",300 to 350,"3,500 to 4,000",Nov-24
LANDED HOUSING DEVELOPMENT,NALLUR ROAD,15,Terrace House,NA,"3,300",150 to 200,"2,000 to 2,500",Nov-24
LANDED HOUSING DEVELOPMENT,NIVEN ROAD,09,Terrace House,NA,"6,300",100 to 150,"1,000 to 1,500",Nov-24
LANDED HOUSING DEVELOPMENT,GENTLE ROAD,11,Semi-Detached House,NA,"12,000",350 to 400,"4,000 to 4,500",Nov-24
LANDED HOUSING DEVELOPMENT,BRANKSOME ROAD,15,Detached House,NA,"12,500",350 to 400,"4,000 to 4,500",Nov-24
LANDED HOUSING DEVELOPMENT,HIGHLAND ROAD,19,Detached House,NA,"13,000",200 to 250,"2,500 to 3,000",Nov-24
LANDED HOUSING DEVELOPMENT,GENTLE ROAD,11,Detached House,NA,"16,888",350 to 400,"3,500 to 4,000",Nov-24
LANDED HOUSING DEVELOPMENT,PASIR PANJANG HILL,05,Detached House,NA,"8,600",250 to 300,"2,500 to 3,000",Nov-24
LANDED HOUSING DEVELOPMENT,SUNRISE AVENUE,28,Semi-Detached House,NA,"5,700",200 to 250,"2,000 to 2,500",Nov-24
LANDED HOUSING DEVELOPMENT,PARKSTONE ROAD,15,Semi-Detached House,NA,"12,200",250 to 300,"3,000 to 3,500",Nov-24
LANDED HOUSING DEVELOPMENT,SPRINGLEAF RISE,26,Semi-Detached House,NA,"6,400",250 to 300,"2,500 to 3,000",Nov-24
LANDED HOUSING DEVELOPMENT,RACE COURSE LANE,08,Terrace House,NA,"16,000",400 to 450,"4,000 to 4,500",Nov-24
LANDED HOUSING DEVELOPMENT,SWETTENHAM ROAD,10,Detached House,NA,"40,000",650 to 700,"7,000 to 7,500",Nov-24
LANDED HOUSING DEVELOPMENT,JALAN MAS KUNING,05,Terrace House,NA,"8,000",150 to 200,"2,000 to 2,500",Nov-24
LANDED HOUSING DEVELOPMENT,MARYLAND DRIVE,10,Detached House,NA,"55,000",850 to 900,"9,000 to 9,500",Nov-24
LANDED HOUSING DEVELOPMENT,CEDAR AVENUE,13,Terrace House,NA,"5,500",150 to 200,"1,500 to 2,000",Nov-24
LANDED HOUSING DEVELOPMENT,WAK HASSAN PLACE,27,Semi-Detached House,NA,"10,000",300 to 350,"3,500 to 4,000",Nov-24
LANDED HOUSING DEVELOPMENT,THOMSON HILL,20,Terrace House,NA,"6,800",200 to 250,"2,000 to 2,500",Nov-24
LANDED HOUSING DEVELOPMENT,MARIAM CLOSE,17,Semi-Detached House,NA,"5,200",200 to 250,"2,000 to 2,500",Nov-24
